BIL,NEGERI,NAMA SYARIKAT,ALAMAT TETAP (SURAT MENYURAT),ALAMAT TEMPAT BERNIAGA,NO.TELEFON BIMBIT / EMEL,TARIKH SIJIL PENGIKTIRAFAN BESS,TARIKH TAMAT PENGIKTIRAFAN BESS,NO. SIRI BESS
4643,PULAU PINANG,UNIVERSITI SAINS MALAYSIA,"UNIT DIETETIK DAN PEMAKANAN, PUSAT PERUBATAN USM BERTAM, UNIVERSITI SAINS MALAYSIA, BERTAM, KEPALA BATAS, 13200 SEBERANG PERAI UTARA, PULAU PINANG","BERTAM, KEPALA BATAS, 13200 SEBERANG PERAI UTARA, PULAU PINANG",yusfizahani@usm. my,04/09/2024,03/09/2027,BeP0724012-0/1
4644,PULAU PINANG,KOPITIAM ASIA PACIFIC SDN BHD,"LOT 896, JALAN SUBANG 10, TAMAN PERINDUSTRIAN SUBANG, SUBANG JAYA,
47600 PETALING, SELANGOR","G-02, JALAN PERDA SELATAN, BANDAR PERDA, BUKIT MERTAJAM, 14000 SEBERANG PERAI
TENGAH, PULAU PINANG",6012-6920583,04/09/2024,03/09/2027,BeP0624016-0/1
4645,PULAU PINANG,RIAS BEGAM ENTERPRISE,"243-A, JALAN PERDANA 9/14, BANDAR
PERDANA, SUNGAI PETANI, 08000 KUALA MUDA, KEDAH","LOTUS'S BAGAN AJAM, PMT 7528, JALAN
BAGAN AJAM, BUTTERWORTH, 13000 SEBERANG PERAI UTARA, PULAU PINANG",6017-5032581,04/09/2024,03/09/2027,BeP0624022-0/1
4646,PULAU PINANG,BERJAYA KRISPY KREME DOUGHNUTS SDN BHD,"BERJAYA KRISPY KREME DOUGHNUT SDN. BHD, LOT 07-33, LEVEL 7 (WEST WING), BERJAYA TIMES SQUARE, NO 1 JALAN IMBI, KUALA LUMPUR, 55100 LEMBAH PANTAI,
WILAYAH PERSEKUTUAN KUALA LUMPUR","PETRON JALAN TENGAH, 80, JALAN TENGAH, BAYAN BARU, BAYAN LEPAS, 11900 BARAT DAYA, PULAU PINANG",6019-3168403,04/09/2024,03/09/2027,BeP0724011-0/1
4647,PULAU PINANG,NASI KANDAR BAWAH POKOK,"NO.19 VILLA PALMA, LORONG SERI CEMERLANG 1, BUTTERWORTH, 12200
SEBERANG PERAI UTARA, PULAU PINANG","NO.19, JALAN TELEKOM, BUTTERWORTH, 12200 SEBERANG PERAI UTARA, PULAU
PINANG",6012-4258623,04/09/2024,03/09/2027,BeP0624002-0/1
4648,PULAU PINANG,ANG LIAN GEOK,"SJKC LI HWA, PERMATANG TENGAH, BUTTERWORTH, 13000, PULAU PINANG","SJKC LI HWA, PERMATANG TENGAH,
BUTTERWORTH, 13000 SEBERANG PERAI UTARA, PULAU PINANG",6016-4839101,04/09/2024,03/09/2027,BeP0424002-0/1
4649,PULAU PINANG,BERJAYA KRISPY KREME DOUGHNUTS SDN BHD,"BERJAYA KRISPY KREME DOUGHNUT SDN. BHD, LOT 07-33, LEVEL 7 (WEST WING), BERJAYA TIMES SQUARE, NO 1 JALAN IMBI, KUALA LUMPUR, 55100 LEMBAH PANTAI,
WILAYAH PERSEKUTUAN KUALA LUMPUR","LOT LG-K33A, LOWER GROUND FLOOR, SUNWAY CARNIVAL MALL, 3068, JLN TODAK, PUSAT BANDAR SEBERANG JAYA, PERAI, 13700 SEBERANG PERAI TENGAH, PULAU PINANG",6019-3168403,04/09/2024,03/09/2027,BeP0724007-0/1
4650,PULAU PINANG,KOPITIAM ASIA PACIFIC SDN BHD,"LOT 896, JALAN SUBANG 10, TAMAN PERINDUSTRIAN SUBANG, SUBANG JAYA, 47600 PETALING, SELANGOR","2F-33A, SUNWAY CARNIVAL MALL, 3068, JALAN TODAK SEBERANG JAYA, SEBERANG JAYA, 13700 SEBERANG PERAI UTARA, PULAU
PINANG",6012-6920583,04/09/2024,03/09/2027,BeP0624015-0/1
4651,PULAU PINANG,AINAKILA KITCHEN,"SB 1758, UNIT - 4, JALAN PADANG BENGGALI, TELUK AIR TAWAR, BUTTERWORTH, 13050 SEBERANG PERAI UTARA, PULAU PINANG","FC 9, LOTUSS BUKIT MERTAJAM, N0. 2323, JALAN ROZHAN, PUSAT PERNIAGAAN SERI IMPIAN, BUKIT MERTAJAM, 14000 SEBERANG
PERAI TENGAH, PULAU PINANG",6017-5998660,13/08/2024,12/08/2027,BeP0623012-0/1
4652,PULAU PINANG,FATIMAH SAMSUL F & B SDN. BHD,"BLOK 22-6-10, JALAN MIDAH 8A, TAMAN MIDAH RIA, CHERAS, 56000 CHERAS, WILAYAH PERSEKUTUAN KUALA LUMPUR","FC 3, LOTUSS BUKIT MERTAJAM, NO. 2323, JALAN ROZHAN, PUSAT PERNIAGAAN SERI IMPIAN, BUKIT MERTAJAM, 14000 SEBERANG
PERAI TENGAH, PULAU PINANG",6011-39518264,13/08/2024,12/08/2027,BeP0823006-0/1
4653,PULAU PINANG,NURUL AZLINA CAFE,"NO. 293G JALAN PERAK, GEORGETOWN, 10150 TIMUR LAUT, PULAU PINANG","GERAI NO 8 BANGUNAN 07, DESASISWA SAUJANA, UNIVERSITI SAINS MALAYSIA, 11800
TIMUR LAUT, PULAU PINANG",6016-4953264,13/08/2024,12/08/2027,BeP0724014-0/1
4654,PULAU PINANG,SECRET RECIPE CAKES & CAFE SDN. BHD.,"NO 42 1ST FLOOR JALAN SS 25/28 TAMAN
MAYANG, PETALING JAYA, 47301 PETALING, SELANGOR","100-LG-57 & 100-LG-58 QUEENSBAY MALL,
PERSIARAN BAYAN INDAH, GELUGOR, 11900 BARAT DAYA, PULAU PINANG",6017-5753720,13/08/2024,12/08/2027,BeP0524019-0/1
4655,PULAU PINANG,"ADVENTIST HEALTH SERVICES MALAYSIA
SDN BHD","7-4-16, VILLA BATU BUKIT, JALAN BATU BUKIT, GEORGE TOWN, 11200 TIMUR LAUT, PULAU
PINANG","465, JALAN BURMA, GEORGE TOWN, 10350 TIMUR LAUT, PULAU PINANG",foodservices@pah. com.my,13/08/2024,12/08/2027,BeP10180095-2/1
4656,PULAU PINANG,SECRET RECIPE CAKES & CAFE SDN. BHD.,"NO 42 1ST FLOOR JALAN SS 25/28 TAMAN MAYANG, PETALING JAYA, 47301 PETALING, SELANGOR","LOT 170-G-56A, GROUND FLOOR, GURNEY PLAZA, PERSIARAN GURNEY, PULAU PINANG, 10250 TIMUR LAUT, PULAU PINANG",6017-5753720,13/08/2024,12/08/2027,BeP0524022-0/1
4657,PULAU PINANG,NAJA SURIA ENTERPRISE,"2-4-2 LINTANG KG. MASJID 1, TAMAN KUMBAR PERMAI, TELUK KUMBAR, BAYAN
LEPAS, 11920 BARAT DAYA, PULAU PINANG","SEKOLAH KEBANGSAAN BAYAN BARU, BAYAN BARU, 11950 BARAT DAYA, PULAU PINANG",6012-4077270,13/08/2024,12/08/2027,BeP0624024-0/1
4658,PULAU PINANG,HEY ROASTED HOUSE ENTERPRISE,"55, GROUND FLOOR, JLN PERNIAGGAN SERI JURU, PUSAT PERNIAGAAN SERI JURU, SIMPANG AMPAT, 14100 SEBERANG PERAI
TENGAH, PULAU PINANG","55, GROUND FLOOR, JLN PERNIAGGAN SERI JURU, PUSAT PERNIAGAAN SERI JURU, SIMPANG AMPAT, 14100 SEBERANG PERAI
TENGAH, PULAU PINANG",heyroastedhouse @gmail.com,13/08/2024,12/08/2027,BeP0624018-0/1
4659,PULAU PINANG,NOODLE SIGNATURE KITCHEN,"SB 1758, UNIT - 4, JALAN PADANG BENGGALI, TELUK AIR TAWAR, BUTTERWORTH, 13050 SEBERANG PERAI UTARA, PULAU PINANG","LOT FC NO.2, MEDAN SELERA LOTUSS STORES
(M) SDN BHD, BAGAN AJAM, BUTTERWORTH, 13000 SEBERANG PERAI UTARA, PULAU
PINANG",6013-8041876,13/08/2024,12/08/2027,BeP0124012-0/1
4660,PULAU PINANG,KEBULOQUE FOOD TRUCK,"NO 74 PERSIARAN SEKSYEN 4/9, BANDAR PUTRA BERTAM, KEPALA BATAS, 13200
SEBERANG PERAI UTARA, PULAU PINANG","NO 74 PERSIARAN SEKSYEN 4/9, BANDAR PUTRA BERTAM, KEPALA BATAS, 13200
SEBERANG PERAI UTARA, PULAU PINANG",6011-35472577,13/08/2024,12/08/2027,BeP0124013-0/1
4661,PULAU PINANG,GOLDEN BLUESKY SDN BHD,"NO.6,SOLOK BERINGIN 1, PERMATANG DAMAR LAUT,BATU MAUNG, BAYAN LEPAS,
11900 BARAT DAYA, PULAU PINANG","NO.6, SOLOK BERINGIN 1, PERMATANG DAMAR LAUT, BATU MAUNG, BAYAN LEPAS,
11900 BARAT DAYA, PULAU PINANG",6016-5561872,13/08/2024,12/08/2027,BeP0624021-0/2
4662,PULAU PINANG,PEARL BRIGHT ENTERPRISE,"10, LORONG MERAK 22, TAMAN MERAK,
SIMPANG AMPAT, 14110 SEBERANG PERAI SELATAN, PULAU PINANG","SJKT LADANG VALDOR, SUNGAI JAWI, SUNGAI
BAKAP, 14200 SEBERANG PERAI SELATAN, PULAU PINANG",6010-8891323,13/08/2024,12/08/2027,BeP0724003-0/1
4663,PULAU PINANG,SECRET RECIPE CAKES & CAFE SDN. BHD.,"NO 42 1ST FLOOR JALAN SS 25/28 TAMAN MAYANG, PETALING JAYA, 47301 PETALING,
SELANGOR","38 (TINGKAT BAWAH) JALAN MAHSURI, BAYAN LEPAS, 11950 BARAT DAYA, PULAU PINANG",6017-6889934,13/08/2024,12/08/2027,BeP0524018-0/1
4664,PULAU PINANG,SECRET RECIPE CAKES & CAFE SDN. BHD.,"NO 42 1ST FLOOR JALAN SS 25/28 TAMAN
MAYANG, PETALING JAYA, 47301 PETALING, SELANGOR","NO 6, GROUND FLOOR, JALAN SUNGAI RUSA,
BALIK PULAU, 11000 BARAT DAYA, PULAU PINANG",6017-5753720,13/08/2024,12/08/2027,BeP0524017-0/1
4665,PULAU PINANG,KOPITIAM ASIA PACIFIC SDN BHD,"LOT 896, JALAN SUBANG 10, TAMAN PERINDUSTRIAN SUBANG, SUBANG JAYA, 47600 PETALING, SELANGOR","LOT 1, LORONG MAJU JAYA 2, PUSAT PERNIAGAAN MAJU JAYA, BUKIT MERTAJAM, 14000 SEBERANG PERAI TENGAH, PULAU
PINANG",6016-5266848,13/08/2024,12/08/2027,BeP0224007-0/1
4666,PULAU PINANG,GERBANG ALAF RESTAURANTS SDN BHD,"TINGKAT 6, BANGUNAN TH DAMANSARA UPTOWN 3, NO. 3 JALAN SS21/39, PETALING JAYA, 47400 PETALING, SELANGOR","LOT L2LFB06, ARAS 2, LAPANGAN TERBANG ANTARABANGSA PULAU PINANG, BAYAN LEPAS, 11900 BARAT DAYA, PULAU PINANG",6012-5964762,16/07/2024,15/07/2027,BeP0724006-0/1
4667,PULAU PINANG,SECRET RECIPE CAKES & CAFE SDN. BHD.,"NO 42 1ST FLOOR JALAN SS 25/28 TAMAN
MAYANG, PETALING JAYA, 47301 PETALING, SELANGOR","LOT 1-01-11 G/F, E-GATE, LEBUH TENGKU
KUDIN 2, GELUGOR, 11700 TIMUR LAUT, PULAU PINANG",6017-5753720,09/07/2024,08/07/2027,BeP0524020-0/1
4668,PULAU PINANG,BERJAYA KRISPY KREME DOUGHNUTS SDN BHD,"BERJAYA KRISPY KREME DOUGHNUT SDN. BHD, LOT 07-33, LEVEL 7 (WEST WING), BERJAYA TIMES SQUARE, NO 1 JALAN IMBI, KUALA LUMPUR, 55100 LEMBAH PANTAI,
WILAYAH PERSEKUTUAN KUALA LUMPUR","UNIT 170-B1-36A, BASEMENT ONE, PLAZA GURNEY, PERSIARAN GURNEY, PENANG, 10250 TIMUR LAUT, PULAU PINANG",6017-2437146,09/07/2024,08/07/2027,BeP0624008-0/1
4669,PULAU PINANG,SECRET RECIPE CAKES & CAFE SDN. BHD.,"NO 42 1ST FLOOR JALAN SS 25/28 TAMAN MAYANG, PETALING JAYA, 47301 PETALING, SELANGOR","EDEN PARADE, JALAN SUNGAI EMAS, KAWASAN PERUMAHAN SUNGAI EMAS, BATU FERRINGHI, 11100 TIMUR LAUT, PULAU
PINANG",6017-5753720,09/07/2024,08/07/2027,BeP0524023-0/1
4670,PULAU PINANG,RESTORAN JAYA AGD SDN BHD,"349-N, JALAN SULTAN AZLAN SHAH, GELUGOR, GEORGETOWN, 11700 TIMUR LAUT, PULAU
PINANG","NO 531, JALAN DATO' KERAMAT, GEORGETOWN, 10460 TIMUR LAUT, PULAU
PINANG",6012-4807830,09/07/2024,08/07/2027,BeP0124006-0/1
4671,PULAU PINANG,ELLOW ENTERPRISE,"7-1-6 LEBUH MAHSURI, BAYAN BARU, 11950 BARAT DAYA, PULAU PINANG","SG/K05, GROUND FLOOR, KOMPLEKS BUKIT
JAMBUL, JALAN RUMBIA, BAYAN LEPAS, 11900 TIMUR LAUT, PULAU PINANG",6013-4999363,09/07/2024,08/07/2027,BeP0624012-0/1
4672,PULAU PINANG,CAHAYA AISY ENTERPRISE,"KEDAI SERBANEKA HOSPITAL PULAU PINANG,
JALAN RESIDENSI, GEORGETOWN, 10990 TIMUR LAUT, PULAU PINANG","JALAN RESIDENSI, GEORGETOWN, 10990 TIMUR LAUT, PULAU PINANG",6019-5558603,09/07/2024,08/07/2027,BeP0524007-0/1
4673,PULAU PINANG,DANDY MODERN FOOD SDN BHD,"72-1-17 & 18, ARENA CURVE, JALAN MAHSURI, BAYAN LEPAS, 11950, PULAU PINANG","72-1-17, 2-18 & 3-18, ARENA CURVE, JALAN MAHSURI, BAYAN LEPAS, 11950 BARAT DAYA,
PULAU PINANG",6012-6959598,09/07/2024,08/07/2027,BeP0524003-0/1
4674,PULAU PINANG,KAR INDUSTRIES SDN BHD,"NO. 16, LORONG BERTAM JAYA 1, TAMAN
BERTAM JAYA, KEPALABATAS, 13200 SEBERANG PERAI UTARA, PULAU PINANG","JALAN BUKIT PANCHOR, NIBONG TEBAL, 14300 SEBERANG PERAI SELATAN, PULAU PINANG",6011-11516755,20/06/2024,19/06/2027,BeP0624009-0/1
4675,PULAU PINANG,MZ LEGASI RESOURCES,"PARIT 1 TIMUR SUNGAI HAJI DORANI, SUNGAI BESAR, 45300 SABAK BERNAM, SELANGOR","JALAN PONDOK UPEH, BALIK PULAU, 11000 BARAT DAYA, PULAU PINANG",6010-8972640,04/06/2024,03/06/2027,BeP0523012-0/1
4676,PULAU PINANG,BERJAYA STARBUCKS COFFEE COMPANY SDN BHD,"LOT 10-04, LEVEL 10, WEST WING,BERJAYA TIMES SQUARE, NO.1,JALAN IMBI, IMBI, KUALA LUMPUR, 55100 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR","NO. L2 AF 08 (LEVEL 2) DOMESTIC DEPARTURE
/ ARRIVAL AIRSIDE, PENANG INTERNATIONAL AIRPORT, JALAN BAYAN LEPAS, BAYAN LEPAS, 11900 BARAT DAYA, PULAU PINANG",qualityassurance@ starbucks.com.my,04/06/2024,03/06/2027,BeP0424008-0/1
4677,PULAU PINANG,GOLDEN DONUTS SDN BHD,"GOLDEN DONUTS SDN BHD, LOT 4, LORONG ENGGANG 37, ULU KELANG INDUSTRIAL AREA, SELANGOR DARUL EHSAN, 68000 GOMBAK,
SELANGOR","LOT L2A-FB15, DOMESTIC DEPARTURE PENANG INTERNATIONAL AIRPORT, GEORGETOWN, 11900 BARAT DAYA, PULAU
PINANG",6012-6841045,04/06/2024,03/06/2027,BeP0424014-0/1
4678,PULAU PINANG,FAIZ MAJU TRADING (M) SDN. BHD.,"NO. 32 LORONG 6C/91, TAMAN SHAMELIN PERKASA, KUALALUMPUR, 56100 PUTRAJAYA, WILAYAH PERSEKUTUAN KUALA LUMPUR","HOSPITAL PULAU PINANG, JALAN RESIDENSI, GEORGETOWN, 10990 TIMUR LAUT, PULAU PINANG",6017-6211621,04/06/2024,03/06/2027,BeP0524002-0/1
4679,PULAU PINANG,PROMART ENTERPRISE,"NO.24, LORONG TAMAN SERI MENGKUANG 8, TAMAN SERI MENGKUANG, BUKIT MERTAJAM, 14000 SEBERANG PERAI UTARA, PULAU
PINANG","JALAN BERTAM 2, KEPALA BATAS, 13200 SEBERANG PERAI UTARA, PULAU PINANG",6019-4490579,04/06/2024,03/06/2027,BeP0524008-0/1
4680,PULAU PINANG,BERJAYA STARBUCKS COFFEE COMPANY SDN BHD,"LOT 10-04, LEVEL 10, WEST WING,BERJAYA TIMES SQUARE, NO.1,JALAN IMBI, IMBI, KUALA LUMPUR, 55100 LEMBAH PANTAI,
WILAYAH PERSEKUTUAN KUALA LUMPUR","LOT L2AFB12B, LEVEL 2, INTERNATIONAL DEPARTURE (AIRSIDE), PENANG INTERNATIONAL AIRPORT, BAYAN LEPAS,
11900 BARAT DAYA, PULAU PINANG",6013-4727882,04/06/2024,03/06/2027,BeP0424009-0/1
4681,PULAU PINANG,PRIMA-LINE CLEAR SDN BHD,"NO.323-H, JALAN KUALA KETIL, SUNGAI PETANI, 08000 TIADA, KEDAH","BALAI PELEPASAN LAPANGAN TERBANG
ANTARABANGSA PULAU PINANG, BAYAN LEPAS, 11900 BARAT DAYA, PULAU PINANG",6012-4386210,04/06/2024,03/06/2027,BeP0424012-0/1
4682,PULAU PINANG,NDN CAFE,"NO 5, LORONG SHAHBANDAR 28, BERTAM
PERDANA 3, KEPALA BATAS, 13200 SEBERANG PERAI UTARA, PULAU PINANG","57 B, PERSIARAN SEKSYEN 4/7, BANDAR PUTRA BERTAM, KEPALA BATAS, 13200
SEBERANG PERAI UTARA, PULAU PINANG",6017-4554067,04/06/2024,03/06/2027,BeP0424011-0/1
4683,PULAU PINANG,KOPITIAM ASIA PACIFIC SDN BHD,"LOT 896, JALAN SUBANG 10, TAMAN PERINDUSTRIAN SUBANG, SUBANG JAYA, 47600 PETALING, SELANGOR","LOT NO L2AR20 & L2AR1, LEVEL 2, DOMESTIC DEPARTURE/ARRIVAL (AIRSIDE), PENANG INTERNATIONAL AIRPORT, BAYAN LEPAS,
11900 BARAT DAYA, PULAU PINANG",6016-5682266,04/06/2024,03/06/2027,BeP0524010-0/1
4684,PULAU PINANG,AARIZ TRADING,"NO 54, JALAN 2/7 SEKSYEN 2, BANDAR RINCHING, SEMENYIH, 43500 KUALA
SELANGOR, SELANGOR","HOSPITAL PULAU PINANG, JALAN RESIDENSI, GEORGETOWN, 10990 TIMUR LAUT, PULAU
PINANG",6011-61565657,04/06/2024,03/06/2027,BeP0524004-0/1
4685,PULAU PINANG,DYADEWIARAKITCHEN,"1F-5-1 PANGSAPURI WARISAN TANJUNG TOKONG, JALAN TANJUNG TOKONG LAMA, PENANG, GEORGETOWN, 10470 TIMUR LAUT,
PULAU PINANG","KANTIN SEK RENDAH ST XAVIER AIR ITAM, JALAN SEKOLAH LA SALLE, AIR ITAM PENANG, GEORGETOWN, 11400 TIMUR LAUT, PULAU
PINANG",6012-4973438,04/06/2024,03/06/2027,BeP0224013-0/1
4686,PULAU PINANG,GOLDEN DONUTS SDN BHD,"GOLDEN DONUTS SDN BHD, LOT 4, LORONG ENGGANG 37, ULU KELANG INDUSTRIAL AREA, SELANGOR DARUL EHSAN, 68000 GOMBAK,
SELANGOR","LOT L1LFB01, LEVEL 1, ARRIVAL LEVEL, PENANG INTERNATIONAL AIRPORT, GEORGETOWN, 11900 BARAT DAYA, PULAU
PINANG",6012-6841045,04/06/2024,03/06/2027,BeP0424015-0/1
4687,PULAU PINANG,KOPITIAM ASIA PACIFIC SDN BHD,"LOT 896, JALAN SUBANG 10, TAMAN PERINDUSTRIAN SUBANG, SUBANG JAYA, 47600 PETALING, SELANGOR","LOT NO. L2AFB13, LEVEL 2, INTERNATIONAL DEPARTURE (AIRSIDE), PENANG INTERNATIONAL AIRPORT, BAYAN LEPAS,
11900 BARAT DAYA, PULAU PINANG",6016-5682266,04/06/2024,03/06/2027,BeP0524011-0/1
4688,PULAU PINANG,ROS CATERING SERVICES,"62, JALAN KOLAM IKAN, BAYAN LEPAS, 11900 BARAT DAYA, PULAU PINANG","SMK BATU MAUNG, JALAN TELUK TEMPOYAK,
BAYAN LEPAS, 11960 BARAT DAYA, PULAU PINANG",6012-5482646,23/05/2024,22/05/2027,BeP0923002-0/1
4689,PULAU PINANG,KZ BRILLIANT KITCHEN ENTERPRISE,"382, MUKIM 14, BUKIT MINYAK, MASJID LAMA, BUKIT MERTAJAM, 14000 SEBERANG
PERAI TENGAH, PULAU PINANG","382, MUKIM 14, BUKIT MINYAK, MASJID LAMA, BUKIT MERTAJAM, 14000 SEBERANG
PERAI TENGAH, PULAU PINANG",6011-24257312,23/05/2024,22/05/2027,BeP0424016-0/1
4690,PULAU PINANG,ALI KO ENTERPRISE,"2A LORONG PAUH JAYA 3/5, TAMAN PAUH JAYA, PERAI, 13700 SEBERANG PERAI TENGAH,
PULAU PINANG","1 LORONG PERDA UTAMA 6, BUKIT MERTAJAM, 14000 SEBERANG PERAI TENGAH,
PULAU PINANG",6014-7469727,23/05/2024,22/05/2027,BeP0524001-0/1
4691,PULAU PINANG,"ADDIN RESTU
ENTERPRISE","NO.9 MK 1, KAMPUNG PERLIS, BALIK PULAU,
11000, PULAU PINANG","JALAN BALIK PULAU, BALIK PULAU, 11000
BARAT DAYA, PULAU PINANG",6017-4175896,15/05/2024,14/05/2027,BeP0223002-0/1
4692,PULAU PINANG,PENANG SKILLS DEVELOPMENT CENTRE,"1,JALAN SULTAN AZLAN SHAH, BANDAR BAYAN BARU, BAYAN LEPAS, 11900 BARAT
DAYA, PULAU PINANG","1 JALAN SULTAN AZLAN SHAH, BANDAR BAYAN BARU, BAYAN LEPAS, 11900 BARAT
DAYA, PULAU PINANG",6016-4630076,15/05/2024,14/05/2027,BeP0124011-0/1
4693,PULAU PINANG,AIMAN RESTU ENTERPRISE,"NO.9 MUKIM I, KAMPUNG PERLIS, BALIK PULAU, 11000 BARAT DAYA, PULAU PINANG","4, JALAN SUNGAI NIPAH, KAMPUNG PERMATANG TENGAH, BALIK PULAU, 11020
BARAT DAYA, PULAU PINANG",6012-4405191,15/05/2024,14/05/2027,BeP0224010-0/1
4694,PULAU PINANG,BERJAYA STARBUCKS COFFEE COMPANY SDN BHD,"LOT 10-04, LEVEL 10, WEST WING,BERJAYA TIMES SQUARE, NO.1,JALAN IMBI, IMBI, KUALA LUMPUR, 55100 LEMBAH PANTAI,
WILAYAH PERSEKUTUAN KUALA LUMPUR","L2AR55, LEVEL 2, DOMESTIC DEPARTURE / ARRIVAL, PENANG INTERNATIONAL AIRPORT, JALAN BAYAN LEPAS, BAYAN LEPAS, 11900
BARAT DAYA, PULAU PINANG",6010-3918641,14/05/2024,13/05/2027,BeP0424007-0/1
4695,PULAU PINANG,BGI MARKETING (M) SDN BHD,"200 JALAN MACALISTER, GEORGETOWN,
10400 TIMUR LAUT, PULAU PINANG","L2LR52 LEVEL 2, PUBLIC CONCOURSE, DEPARTURE HALL (LANDSIDE), PENANG INTERNATIONAL AIRPORT, BAYAN LEPAS,
11700 BARAT DAYA, PULAU PINANG",6012-4315053,14/05/2024,13/05/2027,BeP0424010-0/1
4696,PULAU PINANG,TABCO FOOD SERVICES780408105421,"TABCO FOOD SERVICES SDN BHD, KUALA LUMPUR, 50050 TITIWANGSA, WILAYAH PERSEKUTUAN KUALA LUMPUR","L2R06B LEVEL 2, PUBLIC DEPARTURE CONCOURSE, PENANG INTERNATIONAL AIRPORT, 11900 BARAT DAYA, PULAU PINANG",6012-9140324,14/05/2024,13/05/2027,BeP0424006-0/1
4697,PULAU PINANG,SKSK ENTERPRISE,"24 JALAN SEANG TEK, GEORGETOWN, JELUTONG, 11600 TIMUR LAUT, PULAU
PINANG","NO 24, JALAN SEANG TEK, GEORGETOWN, 10400 TIMUR LAUT, PULAU PINANG",6019-4760651,26/04/2024,25/04/2027,BeP0722009-0/1
4698,PULAU PINANG,GIATMARA BUKIT BENDERA,"GIATMARA BUKIT BENDERA, 2-G JALAN LEMBAH PERMAI, TANJUNG BUNGAH, GEORGETOWN, 11200 TIMUR LAUT, PULAU
PINANG","2-G JALAN LEMBAH PERMAI, TANJUNG BUNGAH, 11200 TIMUR LAUT, PULAU PINANG",6019-4704535,25/04/2024,24/04/2027,BeP0424004-0/1
4699,PULAU PINANG,INVENTEC APPLIANCES (MALAYSIA) SDN BHD,"INVENTEC APPLIANCES SDN. BHD., 3, MEDAN BAYAN LEPAS, KAWASAN PERINDUSTRIAN BAYAN LEPAS FASA 4, BAYAN LEPAS, 11900 BARAT DAYA, PULAU PINANG","INVENTEC APPLIANCES (MALAYSIA) SDN BHD, NO 3, MEDAN BAYAN LEPAS, PHASE 4, NFTZ BAYAN LEPAS TECHNOPLEX, BAYAN LEPAS, 11900 BARAT DAYA, PULAU PINANG",lee.th@iac.com.tw,15/04/2024,14/04/2027,BeP1223001-0/1
4700,PULAU PINANG,FRESHLY MADE SDN BHD,"LEVEL 12 A-H, WISMA BOON SIEW 10000
GEORGETOWN, PENANG, PENANG, 10000 BARAT DAYA, PULAU PINANG","1-1-45 I-AVENUE, MEDAN KAMPUNG RELAU 1,
MUKIM 12, BAYANBARU, 11900 BARAT DAYA, PULAU PINANG",6016-4418010,15/04/2024,14/04/2027,BeP1223007-0/1
4701,PULAU PINANG,AL WASIAH ENTERPRISE,"965 MK 11, SUNGAI BATU, TELUK KUMBAR, BAYAN LEPAS, 11920 BARAT DAYA, PULAU PINANG","KOLEJ VOKASIONAL BALIK PULAU, JALAN BALIK PULAU, KAMPUNG PERMATANG TENGAH, BALIK PULAU, 11000 BARAT DAYA, PULAU
PINANG",6019-4492540,15/04/2024,14/04/2027,BeP0124001-0/1
4702,PULAU PINANG,AJ SMART RESOURCES,"BLOCK C-13-05, PANGSAPURI WIDURI, SEBERANG PERAI UTARA, BUTTERWORTH, 12200 SEBERANG PERAI UTARA, PULAU
PINANG","ASRAMA SMK DATUK ONN, JALAN GANGSA, TAMAN PANTAI BERSIH, BUTTERWORTH, 13000 SEBERANG PERAI UTARA, PULAU
PINANG",6011-10205815,15/04/2024,14/04/2027,BeP0124015-0/1
4703,PULAU PINANG,MAODELI ENTERPRISE,"15, SOLOK MOLEK, BAGAN AJAM, BUTTERWORTH, 13000 SEBERANG PERAI UTARA, PULAU PINANG","L2-09, 5130 TERMINAL PENGANGKUTAN PENANG SENTRAL, JALAN BAGAN DALAM, BUTTERWORTH, 12100 SEBERANG PERAI
UTARA, PULAU PINANG",6018-4674967,15/04/2024,14/04/2027,BeP0124010-0/1
4704,PULAU PINANG,NASI KANDAR NASMIR SDN BHD,"1639, JALAN PERUSAHAAN BUKIT TENGAH TAMAN PELANGI, BUKIT MERTAJAM, 13600, PULAU PINANG","NO.1371 & 1372, JALAN SUNGAI BAKAP, TAMAN SUNGAI BAKAP PERMAI, SUNGAI BAKAP, 14200 SEBERANG PERAI SELATAN,
PULAU PINANG",info@nasmirholdin g.com.my,15/04/2024,14/04/2027,BeP0224012-0/1
4705,PULAU PINANG,PERNIAGAAN ABH,"NO.D-11 KOMPLEKS PERNIAGAAN TASEK GELUGOR, 13300 TASEK GELUGOR, PULAU PINANG, TASEK GELUGOR, 13300 SEBERANG
PERAI UTARA, PULAU PINANG","JALAN TASEK GELUGOR, TASEK GELUGOR, 13300 SEBERANG PERAI UTARA, PULAU PINANG",6017-4331329,29/02/2024,27/02/2027,BeP0124004-0/1
4706,PULAU PINANG,SECRET RECIPE CAKES & CAFE SDN. BHD.,"NO 42 1ST FLOOR JALAN SS 25/28 TAMAN MAYANG, PETALING JAYA, 47301 PETALING, SELANGOR","LOT G15, 1 TESCO SERI TANJUNG PINANG, JALAN SERI TANJUNG PINANG, TANJUNG TOKONG, 10470 TIMUR LAUT, PULAU PINANG",6017-5753720,29/02/2024,27/02/2027,BeP0124014-0/2
